,,where middle leg attaches to thorax,first segment,first segment,first segment,,,,,,,,,
ID,Body Length (cm),Body Width (cm),Upper Femur Length (cm),Middle Femur Length (cm),Hind Femur Length (cm), Weight (mg),,Location Details,,,,Front Legs: responsible for catching prey,,
0313_North_1,,,,,,,,"North Fork, 3/13, 8:44",,,,,,
0313_North_2,,,,,,,,Water Speed (waxy leaf),49.65 sec/ 2 meter,,,,,
0313_North_3,,,,,,,,Water Temperature,16 degrees Celsius,,,,,
0313_North_4,,,,,,,,Location Weather,52 degrees Fahrenheit,,,,,
0313_North_5,,,,,,,,,,,,,,
0313_North_6,,,,,,,,,,,,,,
0313_North_7,,,,,,,,,,,,,,
0313_North_8,,,,,,,,,,,,,,
0313_Main_1,,,,,,,,"Main Stem, 3/13, 9:15",,,,,,
0313_Main_2,,,,,,,,Water Speed (waxy leaf),51.82 sec/ 2 meter,,,,,
0313_Main_3,,,,,,,,Water Temperature,14 degrees Celsius,,,,,
0313_Main_4,,,,,,,,Location Weather,54 degrees Fahrenheit,,,,,
0313_Main_5,,,,,,,,,,,,,,
0313_Main_6,,,,,,,,,,,,,,
0313_Main_7,,,,,,,,,,,,,,
0313_South_1,,,,,,,,"South Fork, 3/13, 9:40",,,,,,
0313_South_2,,,,,,,,Water Speed (waxy leaf),29 sec/ 2 meter,,,,,
0313_South_3,,,,,,,,Water Temperature,14.5 degrees Celsius ,,,,,
0313_South_4,,,,,,,,Location Weather,52 degrees Fahrenheit,,,,,
0313_South_5,,,,,,,,,,,,,,
0313_South_6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
0319_North_1,1.42,0.32,0.434,0.909,0.844,54.2,4 per unit,,,,,,,
0319_North_2,1.416,0.301,0.419,0.841,0.802,56.2,4 per unit,,,,,,,
0319_North_3,1.352,0.263,0.395,0.841,0.712,45.5,4 per unit,,,,,,,
0319_North_4,0.874,0.29,0.335,0.755,0.737,16.7,4 per unit,,,,,,,
0319_North_5,1.387,0.305,0.4,0.963,0.958,54.2,4 per unit,,,,,,,
0319_North_6,1.394,0.336,0.368,0.89,0.872,53.5,4 per unit,,,,,,,
0319_North_7,1.28,0.353,0.455,0.983,0.978,42.1,4 per unit,,,,,,,
0319_North_8,1.312,0.314,0.391,0.987,0.879,46.8,4 per unit,,,,,,,
0319_North_9,1.402,0.246,0.38,0.973,0.866,47.3,4 per unit,,,,,,,
0319_North_10,1.172,0.27,0.362,0.949,0.878,44.9,4 per unit,,,,,,,
0319_North_11,1.354,0.293,0.351,0.898,0.887,47.6,4 per unit,,,,,,,
0319_North_12,0.884,0.251,0.258,0.65,0.617,18.2,4 per unit,,,,,,,
0319_North_13,0.933,0.255,0.276,0.771,0.68,15.7,4 per unit,,,,,,,
0319_North_14,0.776,0.19,0.301,0.754,0.673,29.7,4 per unit,,,,,,,
0319_North_15,0.973,0.277,0.287,0.723,0.693,23.6,4 per unit,,,,,,,
0319_North_16,0.991,0.259,0.261,0.735,0.669,19.5,4 per unit,,,,,,,
17,,,,,,28.5,,,,,,,,
18,,,,,,40.5,,,,,,,,
19,,,,,,9.1,,,,,,,,
20,,,,,,41.5,,,,,,,,
21,,,,,,31.5,,,,,,,,
0319_Main_1,1.399,0.284,0.351,0.889,0.816,46.4,,Body length - not including last segment,,5.594,1.135,1.402,3.554,3.265
0319_Main_2,0.904,0.271,0.253,0.823,0.716,24.5,,Units - 1 box per unit,,3.614,1.082,1.01,3.293,2.864
0319_Main_3,0.894,0.261,0.275,0.826,0.725,25.1,,,,3.577,1.043,1.1,3.303,2.898
0319_Main_4,0.777,0.239,0.297,0.714,0.648,17.3,,,,3.108,0.957,1.188,2.856,2.591
0319_Main_5,0.670,0.229,0.181,0.581,0.529,12,,,,2.68,0.916,0.725,2.323,2.114
0319_Main_6,0.616,0.229,0.182,0.515,0.464,11.2,,,,2.463,0.915,0.729,2.058,1.854
