ID,Body Length,Body Width,Upper Femur,Middle Femur,Hind Femur, Weight,Location,Age
0319_North_1,1.42,0.32,0.434,0.909,0.844,54.2,North,A
0319_North_2,1.416,0.301,0.419,0.841,0.802,56.2,North,A
0319_North_3,1.352,0.263,0.395,0.841,0.712,45.5,North,A
0319_North_4,0.874,0.29,0.335,0.755,0.737,16.7,North,Y
0319_North_5,1.387,0.305,0.4,0.963,0.958,54.2,North,A
0319_North_6,1.394,0.336,0.368,0.89,0.872,53.5,North,A
0319_North_7,1.28,0.353,0.455,0.983,0.978,42.1,North,A
0319_North_8,1.312,0.314,0.391,0.987,0.879,46.8,North,A
0319_North_9,1.402,0.246,0.38,0.973,0.866,47.3,North,A
0319_North_10,1.172,0.27,0.362,0.949,0.878,44.9,North,A
0319_North_11,1.354,0.293,0.351,0.898,0.887,47.6,North,A
0319_North_12,0.884,0.251,0.258,0.65,0.617,18.2,North,Y
0319_North_13,0.933,0.255,0.276,0.771,0.68,15.7,North,Y
0319_North_14,0.776,0.19,0.301,0.754,0.673,29.7,North,Y
0319_North_15,0.973,0.277,0.287,0.723,0.693,23.6,North,Y
0319_North_16,0.991,0.259,0.261,0.735,0.669,19.5,North,Y
0319_Main_1,1.399,0.284,0.351,0.889,0.816,46.4,Main,A
0319_Main_2,0.904,0.271,0.253,0.823,0.716,24.5,Main,Y
0319_Main_3,0.894,0.261,0.275,0.826,0.725,25.1,Main,Y
0319_Main_4,0.777,0.239,0.297,0.714,0.648,17.3,Main,Y
0319_Main_5,0.67,0.229,0.181,0.581,0.529,12,Main,Y
0319_Main_6,0.616,0.229,0.182,0.515,0.464,11.2,Main,Y
0319_Main_7,1.394,0.312,0.398,0.99,0.928,48.8,Main,A
0319_Main_8,1.142,0.248,0.341,0.919,0.819,30.1,Main,Y
0319_Main_9,0.953,0.298,0.271,0.805,0.722,19.4,Main,Y
0319_Main_10,1.499,0.292,0.38,0.987,0.871,56.8,Main,A
0319_Main_11,0.925,0.253,0.274,0.739,0.679,19.7,Main,Y
0319_Main_12,1.173,0.27,0.375,0.923,0.848,39.6,Main,A
0319_Main_13,1.366,0.258,0.294,0.913,0.825,43.2,Main,A
0319_Main_14,0.684,0.232,0.196,0.528,0.458,11.4,Main,Y
0319_Main_15,0.732,0.24,0.261,0.701,0.663,16.5,Main,Y
0319_Main_16,1.212,0.255,0.324,0.886,0.812,33.1,Main,Y
0319_Main_18,0.606,0.217,0.202,0.517,0.463,5.7,Main,Y
0319_Main_19,0.8,0.27,0.287,0.705,0.684,5.5,Main,Y
0319_Main_20,1.308,0.299,0.434,1.049,0.927,50.5,Main,A
0319_Main_21,0.915,0.262,0.31,0.741,0.652,15.8,Main,Y
0319_Main_22,0.841,0.265,0.283,0.714,0.645,19.9,Main,Y
0319_South_1,1.397,0.262,0.364,1.06,0.917,53.6,South,A
0319_South_2,1.437,0.277,0.391,0.953,0.934,49.7,South,A
0319_South_3,0.643,0.268,0.18,0.476,0.434,10.9,South,Y
0319_South_4,1.255,0.364,0.364,0.907,0.258,42.8,South,O
0319_South_5,0.568,0.196,0.278,0.516,0.462,7.3,South,Y
0319_South_6,1.468,0.296,0.406,1.142,0.998,39.6,South,A
0319_South_7,1.376,0.287,0.334,0.942,0.879,46.4,South,A
0319_South_8,0.748,0.247,0.679,0.609,0.243,12.7,South,Y
0319_South_9,1.391,0.289,0.359,0.887,0.889,45.9,South,A
0319_South_10,0.909,0.239,0.306,0.709,0.625,19.7,South,Y
0319_South_11,0.648,0.242,0.247,0.662,0.671,16.8,South,Y
0319_South_12,0.977,0.266,0.281,0.738,0.675,34.7,South,O
0319_South_13,1.301,0.279,0.379,0.941,0.931,47.6,South,A
0319_South_14,1.311,0.297,0.395,0.956,0.881,47.4,South,A
0319_South_15,0.69,0.219,0.292,0.749,0.683,12.5,South,Y
0319_South_16,1.337,0.256,0.371,1.01,1.024,42.2,South,A
0319_South_17,0.647,0.25,0.173,0.482,0.438,10.1,South,Y
0319_South_18,0.592,0.221,0.166,0.484,0.444,9.1,South,Y
0319_South_19,0.766,0.266,0.214,0.491,0.421,16.7,South,Y
